Minisector,PER,HAM,Fastest
0,270.49537064231816,268.6188972382587,PER
1,290.7292636146283,288.0702649595682,PER
2,294.1062950078908,285.11035687597706,PER
3,125.75323065582411,122.35036985034304,PER
4,184.2234404250295,191.28653321349822,HAM
5,249.4282592671073,248.30218911890947,PER
6,132.56965733188275,140.63845335903954,HAM
7,193.4600530537228,205.75023730009596,HAM
8,255.09247048516423,255.20002803022356,HAM
9,280.48139863070264,276.14719876918116,PER
10,229.92039516883452,229.1383700149403,PER
11,167.33259544441415,172.56724944915084,HAM
12,185.2486652118895,185.86707298616008,HAM
13,140.83330507093822,145.473229158925,HAM
14,175.7099963287423,180.2881231315849,HAM
15,159.1078457488799,158.4575330165451,PER
16,214.03771861499843,215.4916287621983,HAM
17,230.77504487499561,234.27551981946755,HAM
18,235.74347916937126,237.93815245056206,HAM
19,233.3728325608753,245.08850921675213,HAM
20,145.06881552020474,139.87664950566023,PER
21,128.2192191571726,134.20781364597008,HAM
22,163.84713447671623,169.10831041124985,HAM
23,150.23936327564877,150.21096478971924,PER
24,224.93095213711175,222.2951604637681,PER
25,,251.8728184136169,HAM
