Minisector,PER,OCO,Fastest
0,304.5251009197848,297.33151248592594,PER
1,238.783278799552,253.89696381335978,OCO
2,126.96122338500594,127.31672199884139,OCO
3,242.3046287664261,235.3479008246962,PER
4,189.87999180268963,191.89964121045216,OCO
5,248.10733536234346,244.01303920310554,PER
6,233.82120216997427,228.50737594236512,PER
7,257.9067521220838,250.9071313595276,PER
8,291.26323010077925,282.59822838740814,PER
9,199.3206198723986,216.16477760688863,OCO
10,199.22454689023857,196.16771689266685,PER
11,272.0243614371848,268.40491204534754,PER
12,211.29900116813852,215.50923004569955,OCO
13,250.12624828472482,245.01069698020623,PER
14,290.75981573333337,286.32068120818724,PER
15,307.4681968181521,301.1575642993682,PER
16,309.1143442144108,298.52530940948185,PER
17,212.86931547649968,213.3523093122344,OCO
18,262.25817636200014,258.4739923754643,PER
19,295.11545596275135,291.9243300432298,PER
20,309.82688490522594,305.1238629422222,PER
21,312.2462794648196,310.7640833584762,PER
22,154.75367087404277,158.84265363872098,OCO
23,229.70396837315022,226.47958612926985,PER
24,286.9079881576434,280.97116787492314,PER
25,,292.0045463272727,OCO
