Minisector,LAW,SAI,Fastest
0,257.07272363512044,266.85624148002086,SAI
1,134.03212509799204,135.96765473458822,SAI
2,208.1961265432381,202.33989017415894,LAW
3,246.47930254448485,245.3178914185695,LAW
4,260.62675124755583,260.56562572444443,LAW
5,176.51397542508948,180.97335966791533,SAI
6,147.77498335691092,154.50057629289034,SAI
7,186.7796686705325,190.73594366339256,SAI
8,103.87422829866178,104.45248532308207,SAI
9,73.5205762512512,69.27897862754507,LAW
10,97.78492455067592,98.9043916960062,SAI
11,186.06201040056692,189.0977151201426,SAI
12,244.48574971540089,245.79664864668104,SAI
13,266.05425676059645,268.8143412114286,SAI
14,274.3505039615246,279.2922984565657,SAI
15,102.34135497279038,109.2131992186324,SAI
16,159.5657573848119,158.3279273696996,LAW
17,181.99207420836893,188.25340756627287,SAI
18,200.97489310717467,210.73535504839367,SAI
19,213.76477854117647,213.16000760041422,LAW
20,137.0308801208303,142.30796102811652,SAI
21,110.36887724904511,108.00251377670651,LAW
22,99.75934785246163,108.49687777910313,SAI
23,199.82826215793,205.3870420010372,SAI
24,248.95894391466666,252.00620200542568,SAI
25,262.6,,LAW
