Minisector,PER,SAI,Fastest
0,291.60918150949345,290.6941358649639,PER
1,300.5865312964265,301.85746073656867,SAI
2,304.8270751079739,307.16278256435953,SAI
3,298.78666549841273,303.6289411030913,SAI
4,172.52955561634408,166.47145259367295,PER
5,207.19520802552609,202.22805782568508,PER
6,232.69006571439675,229.92610987123808,PER
7,264.98859931552,261.6085296409269,PER
8,250.35924671311332,256.0525562995488,SAI
9,162.02719425918607,159.62324944827486,PER
10,221.01664566239785,224.09314814066835,SAI
11,130.43339817468458,126.76433778757846,PER
12,231.42410946367573,225.90557089415358,PER
13,178.5563274700529,178.2954629377064,PER
14,215.15770791966386,210.83847006432023,PER
15,245.9847729648485,235.66876628140787,PER
16,264.1051917798942,256.9920601866577,PER
17,287.529709836555,284.6777124288385,PER
18,161.0813491619822,157.29720787924305,PER
19,171.36397378534588,164.56499643487626,PER
20,143.85369625305205,136.7460157236682,PER
21,232.1026758164671,221.1583891648758,PER
22,264.78838316103617,258.0015396162097,PER
23,247.7229894690909,245.79648615625138,PER
24,280.0940038460024,272.75184767512235,PER
25,,284.94772683636364,SAI
