Minisector,VET,HUL,Fastest
0,279.6706956934336,273.87212813383303,VET
1,247.77306091376224,225.82162110111838,VET
2,115.52830572031478,114.47120554132967,VET
3,188.71971629386198,188.41419019540933,VET
4,184.45662260929674,177.17815528088366,VET
5,211.87487998250157,220.01494748613894,HUL
6,278.0395533826194,274.25067078154973,VET
7,295.6133606781784,289.8807213236594,VET
8,197.1575423892449,175.53184882003205,VET
9,130.65167576431094,129.77922728305055,VET
10,129.33973967400476,134.8465312495744,HUL
11,188.46699422567565,190.55879926225688,HUL
12,228.995156725092,214.54877993504678,VET
13,132.6959165199423,132.11905641550356,VET
14,161.21646555894876,148.6666168567787,VET
15,118.96343303743292,124.02737070258267,HUL
16,254.3361703889091,253.17375771067245,VET
17,151.72317308959452,138.73171859678163,VET
18,196.1445417362642,201.4932971738665,HUL
19,137.5323671854081,131.81038010366424,VET
20,155.11659345973533,146.16924874243145,VET
21,124.80216050606974,128.04607504079425,HUL
22,139.5253438034067,144.00299212647218,HUL
23,217.31602605128208,213.12355830173854,VET
24,233.01373781560562,232.9759216376999,VET
25,264.2166656,,VET
