Minisector,SAI,RUS,Fastest
0,292.4956301047811,293.50661801978134,RUS
1,303.7802046735749,305.444129224,RUS
2,307.923499968,309.09251789409734,RUS
3,187.15118556577735,190.51937647084213,RUS
4,208.7900637840191,212.5042686456508,RUS
5,202.267608465691,203.82679243706622,RUS
6,263.5887026078223,266.2515069052181,RUS
7,253.08597974221516,264.48144016350716,RUS
8,211.99679130373627,217.77006330180285,RUS
9,210.10486179946187,211.50372990541277,RUS
10,141.49498981626317,139.8106433563105,SAI
11,199.20084669310353,198.2961028929715,SAI
12,184.33113802391168,181.3791344948148,SAI
13,249.28888381809523,255.35697604113162,RUS
14,181.12665398510705,173.3644781081489,SAI
15,233.01578426598292,234.91188195237854,RUS
16,280.57425756688053,281.71054024551825,RUS
17,290.6984016578483,292.68825898336564,RUS
18,281.8102639746494,287.6457564677978,RUS
19,267.2176533350424,265.7300679793491,SAI
20,269.9453261711977,266.20731973675305,SAI
21,261.91658363195745,266.18416542376815,RUS
22,226.53414009550528,229.27134181563483,RUS
23,214.51310706167743,204.79117312152934,SAI
24,267.9681001088765,270.21499968,RUS
25,284.2,285.63749952,RUS
