Minisector,ALO,OCO,Fastest
0,267.7143271403922,259.0615076266282,ALO
1,289.20419363387504,276.405231122963,ALO
2,295.7176494783626,283.6512952013427,ALO
3,127.03209081560823,129.05535885976903,OCO
4,181.1019504158368,186.2137976990476,OCO
5,258.2734312274286,246.74871314823528,ALO
6,137.52996392924723,133.16471807208376,ALO
7,190.4286111908272,200.50058206662447,OCO
8,248.52854699479562,252.88940992962407,OCO
9,270.91522044235296,274.54803497116126,OCO
10,232.60411014734007,224.61077476963922,ALO
11,184.62994853362144,175.0732023369697,ALO
12,177.3362560051072,184.39459103168255,OCO
13,142.40314040875035,135.75705636190477,ALO
14,160.86823604413107,164.87973803338383,OCO
15,149.68832389635983,148.89346044883453,ALO
16,198.26145276058375,214.59055941804988,OCO
17,226.30487162254795,224.39850642960332,ALO
18,227.87899371367004,232.82422834393526,OCO
19,230.3885525287492,220.8129164340438,ALO
20,139.78241179987506,143.22552349417663,OCO
21,132.38792025740742,127.99511189621545,ALO
22,163.36664032827858,163.27601017743146,ALO
23,144.54736643100165,144.5795753195138,OCO
24,224.24181121279994,226.6686515745363,OCO
25,248.68500096,,ALO
