Minisector,VER,LEC,Fastest
0,277.9276960627451,280.7440142984127,LEC
1,299.6297224533334,304.6636917595504,LEC
2,310.9265625333333,316.0107993360544,LEC
3,317.81904754285716,322.7490384410257,LEC
4,321.66547619047617,327.79251700680277,LEC
5,322.1596846581734,330.3331037268308,LEC
6,199.52280827733333,203.74409833650793,LEC
7,112.1798854441113,107.62910846736352,VER
8,193.65094353015874,186.0686569293236,VER
9,266.23564115975194,268.33515646666666,LEC
10,292.3367462704762,298.6354166666667,LEC
11,159.09692345396826,162.96327802992866,LEC
12,103.37858018138436,99.67901656927839,VER
13,123.06084653968254,118.7887957579853,VER
14,220.76771106449416,220.38857939653974,VER
15,195.1539607173875,187.22095697777777,VER
16,234.15232561718983,221.83257772099464,VER
17,185.16910840222326,173.8836669677956,VER
18,244.69117647058823,244.96702625403006,LEC
19,282.62086884553355,287.8888056949495,LEC
20,249.61104650165467,233.60153701052633,VER
21,150.63745983748183,144.76641434315843,VER
22,102.80251875221443,99.4652826787912,VER
23,130.7584498270775,125.72271227669296,VER
24,230.33207382800063,236.96329392592594,LEC
25,259.03333546666664,,VER
