Minisector,ANT,TSU,Fastest
0,297.18727655606455,294.7299877512739,ANT
1,310.01188326015034,306.6285052667403,ANT
2,314.6631424363991,306.52482978500797,ANT
3,181.73795362380045,182.8513619963049,TSU
4,204.86242987908287,214.66109229142694,TSU
5,204.38395980026309,198.42229762642904,ANT
6,268.95614331223675,260.7602075111111,ANT
7,254.2787887040063,251.68250443015057,ANT
8,217.87140725589555,206.00186803480844,ANT
9,212.80641173578545,206.47329936317433,ANT
10,133.8668459143813,143.04992517242675,TSU
11,199.51286277534285,189.91641363788753,ANT
12,183.1113760748052,192.43914162948005,TSU
13,253.35512923396826,250.707417781271,ANT
14,174.62141927909386,177.2626754241512,TSU
15,231.9185204673016,236.16497685704175,TSU
16,280.721720382585,280.8049979972789,TSU
17,292.2789184986679,292.9675925356518,TSU
18,282.2292292905216,285.1497641433436,TSU
19,265.20253545385356,264.02494978613964,ANT
20,264.17797213776623,260.4923525129716,ANT
21,262.48565120853544,263.27193592679737,TSU
22,228.55169054023463,230.1632205377663,TSU
23,205.55961721303967,207.11177208098763,TSU
24,273.0900421823313,270.68948767358665,ANT
25,290.9666659555555,,ANT
