Minisector,RUS,PIA,Fastest
0,300.5682144454581,300.41137398382165,RUS
1,189.33378183889255,192.41733093576488,PIA
2,219.79446824998433,227.07681268244977,PIA
3,276.6176866676223,273.82440739347317,RUS
4,228.99886166003702,220.75164724496548,RUS
5,124.37511196437053,128.65536552505313,PIA
6,203.87883494945254,210.08369725266442,PIA
7,239.08772608857188,251.1345379041594,PIA
8,236.26056991619896,240.12528048054585,PIA
9,226.46116696543885,227.579364572456,PIA
10,273.2150347796582,274.2539140970716,PIA
11,289.73115356286996,289.52621877402424,RUS
12,296.4746942399718,294.7017717990147,RUS
13,298.92778810372727,297.31436143663285,RUS
14,297.73357142857145,296.9858079094853,RUS
15,227.56901305677488,244.6677902908338,PIA
16,226.90821337740826,235.48318579292877,PIA
17,270.9428997579742,274.47250595238097,PIA
18,285.48652090637495,286.2760287990193,PIA
19,139.6030917788288,155.65338178201236,PIA
20,195.4431641573585,211.87487298447863,PIA
21,184.10726748435414,168.33772471064455,RUS
22,134.72808346515114,132.09175304451455,RUS
23,236.83597061142112,239.6128084169292,PIA
24,282.63795683221883,283.5740359327575,PIA
25,297.1194974021604,296.0249997714286,RUS
