Minisector,NOR,COL,Fastest
0,248.92023658495242,256.73572172280257,COL
1,132.52568729435228,137.27752205550559,COL
2,283.21791770718806,274.16316291106995,NOR
3,321.52255846299727,310.1831515480975,NOR
4,302.3400724429764,293.25591857629905,NOR
5,321.56209540723495,313.99232874023926,NOR
6,323.8500362522751,314.1394449378656,NOR
7,318.6249999259259,308.2816403143803,NOR
8,192.96019182194993,184.40612721309472,NOR
9,196.01452303466223,187.103090310806,NOR
10,173.1637769660933,176.70103000596725,COL
11,171.251367460703,162.72570098907917,NOR
12,249.49008198484532,240.7590588356067,NOR
13,266.257650603821,262.1480836673016,NOR
14,261.5170862340887,259.38318203339236,NOR
15,252.70188274797613,248.51994926740224,NOR
16,167.02225867986445,168.0532529042895,COL
17,189.08198408259494,185.62240927328423,NOR
18,250.7211860550616,244.7304045548006,NOR
19,303.22289208330363,296.2919360323115,NOR
20,323.48845825092786,315.54581598152754,NOR
21,315.2009595768915,297.06926246697594,NOR
22,300.9968347373871,280.2297598834152,NOR
23,249.3566832908642,247.62752297936785,NOR
24,117.6046926957821,114.16425370542292,NOR
25,229.7995454977511,229.43166912,NOR
