Minisector,BOT,TSU,Fastest
0,290.27222186666665,304.0427796935818,TSU
1,296.63405801739134,318.1462122666667,TSU
2,292.334680089441,287.630346026535,BOT
3,122.30403811310345,108.84134578536396,BOT
4,225.22978590081556,228.28170664515002,TSU
5,276.26557461587305,287.15750136935355,TSU
6,223.35338606714765,220.50596199560493,BOT
7,166.89682412307693,156.69677099677617,BOT
8,220.6722907997671,205.84730186775982,BOT
9,232.72044388045978,216.51303755698925,BOT
10,123.84969755904483,118.24325136587137,BOT
11,232.5036560741451,229.26900923543383,BOT
12,127.51103786991582,124.65341165975292,BOT
13,230.71962073957306,224.15065822791462,BOT
14,280.2339224990637,278.8048383966005,BOT
15,228.0817233204301,215.360348627957,BOT
16,199.43344037183795,192.3905455135069,BOT
17,258.03205078974355,251.3929032908425,BOT
18,220.73861153447794,203.6718254578136,BOT
19,180.97837676396398,181.67259568448364,TSU
20,264.1849981642144,263.43041138585966,BOT
21,284.9381944,288.8147572444445,TSU
22,183.12157793198136,172.09182964519994,BOT
23,218.974729427957,217.22096898064515,BOT
24,270.79410258319297,270.1038018225358,BOT
