Minisector,PER,STR,Fastest
0,250.63803089972313,260.9417975697828,STR
1,128.70575894398368,127.29979744467609,PER
2,257.54031985401554,254.13046863737273,PER
3,297.80522379792586,301.0203406363215,STR
4,295.85741710512474,301.04117750836457,STR
5,304.7141858105983,305.6982110933333,STR
6,310.01573959969863,311.5235999744,STR
7,310.2651707821906,310.3903683889459,STR
8,188.48116602081768,192.22033380578,STR
9,192.31042137657306,187.74854897133383,PER
10,187.45751190266375,186.05831786711596,PER
11,169.1812352451723,164.9549606815215,PER
12,249.30527602333666,250.36778434116465,STR
13,270.2669237794264,274.41851805180954,STR
14,272.1485861237732,273.43859352204265,STR
15,271.610202799093,261.47279488554113,PER
16,180.50124567609686,176.3179370488889,PER
17,177.98300647786624,182.19580870282462,STR
18,231.9004931276551,230.7728186410368,PER
19,283.9648265358824,281.9548723301587,PER
20,305.90274386879406,305.79046889432544,PER
21,313.87750630468133,313.32449998019047,PER
22,315.06290749655676,312.7368313526586,PER
23,258.75953294863103,243.14987105180376,PER
24,113.78669154201681,110.17748208471758,PER
