Minisector,LEC,LAW,Fastest
0,271.92916345907054,269.11819042432745,LEC
1,286.3072355629868,287.35280225269844,LAW
2,288.4145427660131,292.50398207910365,LAW
3,129.3123342064934,131.32097823553633,LAW
4,195.57962730188032,193.99449039269075,LEC
5,256.763449813404,254.4285103784874,LEC
6,143.54035364785167,143.14617911344672,LEC
7,206.16429723339937,205.55494381716494,LEC
8,259.0864491294118,257.07293730538163,LEC
9,275.41224195003065,279.9237023885714,LAW
10,239.64388426095238,239.9116735380269,LAW
11,185.03561584670075,180.14398201311616,LEC
12,191.1719229587547,194.8089876938528,LAW
13,146.03895202362145,137.73822392316586,LEC
14,178.14399308426303,172.92982175994672,LEC
15,159.24100279794038,164.74599204981683,LAW
16,216.11896715916356,220.7618514280635,LAW
17,243.41429753866848,234.77108871688313,LEC
18,248.62907375085715,242.0440086517749,LEC
19,244.63846103951514,242.55068984533332,LEC
20,148.29511254093143,142.62893408750486,LEC
21,128.12817451291858,130.30440743345042,LAW
22,163.99062531011913,170.3714353928751,LAW
23,154.37544650803324,154.37310427526882,LEC
24,228.61514517520936,230.68105488390626,LAW
25,257.42727272727274,,LEC
