Minisector,BOT,HUL,Fastest
0,294.47120314687675,292.1959597286771,BOT
1,206.40971223533862,198.5091798115909,BOT
2,233.28909115347557,221.55987782288997,BOT
3,275.60173483689704,271.6564498069684,BOT
4,234.45084369038136,232.77420586073174,BOT
5,126.99681048262404,122.75950430797089,BOT
6,217.0109480105721,206.46581038153892,BOT
7,264.71896644401414,254.2009144158749,BOT
8,216.44706283366594,205.71017457882826,BOT
9,208.96900222168662,204.55641836633657,BOT
10,266.14218494960716,262.3099589364302,BOT
11,210.48639129273138,212.7194404294106,HUL
12,180.20842886928725,173.38667497512327,BOT
13,263.8660922284017,257.7379334747208,BOT
14,284.2664471578948,280.1222964668408,BOT
15,266.6450798252176,258.99834483712914,BOT
16,245.38603992032998,233.91907016826462,BOT
17,276.1851707407142,269.7903833601012,BOT
18,289.4828792523506,284.4866250412815,BOT
19,182.14878033928554,169.8698176840363,BOT
20,217.85524958708558,210.41430041012958,BOT
21,169.89470264166687,177.46096379306354,HUL
22,147.36639134924354,134.60476587371784,BOT
23,243.55691807681993,233.75260495476894,BOT
24,281.9280040720355,278.07600261471765,BOT
25,290.83084508046807,289.76666666666665,BOT
