Minisector,RUS,HAD,Fastest
0,313.9240280739506,315.8428526520357,HAD
1,325.9187804037645,328.39439176388913,HAD
2,330.65611373871786,333.110837301286,HAD
3,301.13892989358146,314.2512278322902,HAD
4,152.489175670293,159.46231955465709,HAD
5,196.73241383805765,191.39575642780702,RUS
6,218.1480124375483,218.9624494575627,HAD
7,258.7933838994997,260.9312501300264,HAD
8,231.07344083846837,257.2816410999924,HAD
9,156.3210654785933,152.54352917895739,RUS
10,208.84819285490815,214.7047270330418,HAD
11,121.6882714425364,123.60800672402493,HAD
12,228.550893227447,221.37455128448272,RUS
13,163.14714734312878,169.1653914800941,HAD
14,207.17803951738463,206.71255925835862,RUS
15,219.77815718974924,222.528046738407,HAD
16,264.36019931061577,260.2078662359451,RUS
17,304.5161369479086,298.76021122281685,RUS
18,142.55998770418336,148.7425016082001,HAD
19,157.13669879872515,152.85661146072974,RUS
20,132.268195768097,129.65463048090058,RUS
21,222.66669628635492,221.4028119407314,RUS
22,246.7271615504531,250.09101165390751,HAD
23,229.43737049483997,230.85078494165677,HAD
24,281.35448776632813,278.90207368716716,RUS
25,,307.3112043993724,HAD
