Minisector,NOR,TSU,Fastest
0,246.60757868693727,246.83975486802723,TSU
1,283.25533333333334,282.278638620828,NOR
2,184.6851751810506,184.27309472462247,NOR
3,152.36689299428784,151.90621941419266,NOR
4,259.36615283807345,259.49097227318396,TSU
5,265.452314745679,262.0906517107584,NOR
6,215.84905568357183,209.85602852066145,NOR
7,194.81764446089727,183.76333630682112,NOR
8,148.45383581397496,151.5852758643105,TSU
9,211.4293561289517,204.33775604434646,NOR
10,268.0346666666667,273.6690006186667,TSU
11,125.43966393323431,122.15093929529237,NOR
12,205.83640786662482,202.2392975694309,NOR
13,269.4581666986667,270.8475483428572,TSU
14,290.8618181381645,291.3644726447996,TSU
15,299.4528985507246,298.8884058898551,NOR
16,257.59987204539914,237.61378817471265,NOR
17,132.86317958251314,128.1679568864992,NOR
18,125.34840019164437,126.28090387188566,TSU
19,118.33932960609864,117.11201978421308,NOR
20,224.73920235938752,223.90200349765598,NOR
21,254.15130499633702,251.37114287407408,NOR
22,238.99469433266677,231.04602168877045,NOR
23,216.3920357242469,215.21128945745008,NOR
24,134.70008998096327,135.98018444878963,TSU
25,214.9208352,,NOR
