Minisector,NOR,PER,Fastest
0,271.57187403741193,269.34379598814814,NOR
1,287.60678117250245,288.3089663851583,PER
2,295.419397952,291.03768579950616,NOR
3,128.56710142216315,126.91193873026306,NOR
4,192.22791240609732,201.47873875482992,PER
5,247.6819180515222,251.9257825224873,PER
6,134.46374036571427,136.32165320176367,PER
7,206.22241060834767,206.15322790851937,NOR
8,257.66783782796676,259.8616650173243,PER
9,278.893768368868,279.9373109593277,PER
10,230.8208449197204,225.39426386349214,NOR
11,172.52365536983103,176.157891051229,PER
12,191.83877444752886,191.68625724188553,NOR
13,134.20898674105248,133.1781501093082,NOR
14,174.18853692315048,176.59159575228398,PER
15,160.11776214697394,163.3501971859818,PER
16,222.30989492894662,219.1511808719617,NOR
17,233.45731553686858,232.65858939508772,NOR
18,239.6619171496705,241.77845984907827,PER
19,224.9546990125177,221.0230786003198,NOR
20,145.8923967439316,150.5911881918382,PER
21,126.79786912994788,134.03237054134482,PER
22,172.603178320112,171.67935136052546,NOR
23,154.28133458582695,152.74373156922536,NOR
24,230.8654268903896,234.8433063005857,PER
25,256.9833344,,NOR
