Minisector,VET,GIO,Fastest
0,293.13266808291314,302.98052490017506,GIO
1,291.089841,306.2451030987755,GIO
2,160.7366017311014,155.0846093123928,VET
3,228.8946813422748,224.81643080723114,VET
4,279.0420357873408,283.333266659536,GIO
5,298.0433857920888,308.6718433392666,GIO
6,300.2122220901587,321.64263300902593,GIO
7,150.16491350677214,144.28620336624604,VET
8,149.23884907119552,143.59515437754,VET
9,256.9792532232225,258.01325281646393,GIO
10,289.5372502664214,295.5912199743408,GIO
11,296.8205600824849,304.88792677816707,GIO
12,143.36987468861622,137.48911033115806,VET
13,210.85597954782608,199.96252999677915,VET
14,263.13362121139954,258.63218200380516,VET
15,201.4363040277124,188.15249415949424,VET
16,230.825080408055,221.37237176297722,VET
17,213.3103786843018,205.30387553850142,VET
18,250.39273411672275,244.53744107360066,VET
19,279.08752382546066,275.4709420617362,VET
20,294.70278362592757,291.6524994203963,VET
21,257.8117448291518,255.28772145656538,VET
22,224.77196682406816,216.01656707648118,VET
23,215.93297898963382,213.3983455666951,VET
24,270.98669404547314,273.82953129333333,GIO
25,285.97014864543013,,VET
