Minisector,VER,HAD,Fastest
0,288.68017515391284,287.6609683390899,VER
1,305.94184450569105,304.05829753953935,VER
2,309.8872785603628,300.26041106830996,VER
3,198.8235196555884,203.72241385689293,HAD
4,235.23910436658687,236.54590795147166,HAD
5,226.421482400057,223.9457533511111,VER
6,209.84272314712481,207.24208763994417,VER
7,237.32293833120625,232.83344417668937,VER
8,272.260378195671,269.3471033927828,VER
9,275.78073869765086,268.07070980392155,VER
10,174.1701330376568,180.10518937866124,HAD
11,240.72052317836224,235.33853965366254,VER
12,117.48098553754957,120.217687460836,HAD
13,226.48933943159267,224.99842636555928,VER
14,278.9621494350914,278.31831543263667,VER
15,293.0825899873621,290.21276420271283,VER
16,222.5789007210604,213.71758065519836,VER
17,186.7039610511123,192.62989562299356,HAD
18,268.41209670342414,269.18552864196647,HAD
19,293.7964999953168,294.03798916810456,HAD
20,305.2087712879184,304.9591794480808,VER
21,306.4350172844444,304.6114105067771,VER
22,267.8352994813473,263.08839956910055,VER
23,116.76530054434669,120.68992885659671,HAD
24,243.45726233913996,248.3293535352396,HAD
