Minisector,PER,RIC,Fastest
0,294.6921589057326,308.76388402565874,RIC
1,296.8675438596491,320.19249346031745,RIC
2,297.479443608638,320.4293981037037,RIC
3,234.42567811638443,224.33714862050726,PER
4,238.29982697777777,226.5424672820513,PER
5,116.89174986755519,113.43874019229087,PER
6,220.06779163700753,218.81295764467,PER
7,269.55995637056276,271.7755952111965,RIC
8,236.09000213333331,228.10117653650806,PER
9,117.34116683319613,114.56517630581426,PER
10,236.67059034273063,235.82531256742203,PER
11,258.0843617108225,250.09433464007085,PER
12,140.98118154374473,132.93811342311727,PER
13,212.3438261728395,215.68751996127577,RIC
14,268.5675167419501,268.8057535492063,RIC
15,229.12268634074076,223.37960759203,PER
16,161.38434777955138,152.77859468868851,PER
17,242.65362286376813,239.1664288,PER
18,128.7368824033553,118.91190524557965,PER
19,147.83117479751365,140.37862934058955,PER
20,191.99755673431858,187.76157921918588,PER
21,257.7399509193936,260.2335138782609,RIC
22,275.1484068366888,275.3392483744935,RIC
23,280.1897915504762,280.106132912976,PER
24,289.4846540631649,287.05711292952384,PER
