Minisector,LEC,SAI,Fastest
0,310.7143501654658,307.67213130068563,LEC
1,248.21199267900954,226.38423438896217,LEC
2,135.02347606176048,127.50390174168729,LEC
3,242.68801216678858,231.6664574315052,LEC
4,190.74874493242908,189.88563146230703,LEC
5,255.2014049043117,243.20014023740933,LEC
6,238.64370680412918,224.03837765003175,LEC
7,252.79901778607407,259.66164568832454,SAI
8,292.6334884647619,293.8314831860236,SAI
9,205.6649025423043,198.54095846170807,LEC
10,199.07276312400626,215.8027836393725,SAI
11,277.3375324491228,277.3832728445381,SAI
12,213.54030233357696,203.66307183983125,LEC
13,243.89049728764883,256.7933556682429,SAI
14,293.0176662913179,297.02454922350364,SAI
15,310.15740726857143,310.6925785120773,SAI
16,312.99261628652255,310.9139722490358,LEC
17,210.29661879542857,199.5207537083147,LEC
18,261.06408881803776,264.3283513981799,SAI
19,298.22967223026455,297.8343817904762,LEC
20,313.6177897112419,312.9637769207504,LEC
21,316.1183959118367,314.07604162133333,LEC
22,146.0466591834001,142.1767162696365,LEC
23,228.24960557606485,239.8513712968498,SAI
24,289.22032166577776,293.1767515947215,SAI
