Minisector,VER,MAG,Fastest
0,273.947953344708,273.0316488378117,VER
1,291.019815470183,289.1298406117647,VER
2,293.6747806877193,292.5232462917293,VER
3,130.62045619950626,128.91146698400885,VER
4,208.45948949976955,206.53492752457143,VER
5,256.27893631126193,252.0185304533198,VER
6,145.8979971920672,140.6616150929215,VER
7,215.34868005788624,212.60450071981452,VER
8,262.5533220450241,262.83849173333334,MAG
9,278.42562358276643,279.70074974065193,MAG
10,238.25543756516055,232.30092131962124,VER
11,180.64208451136304,177.5780205974556,VER
12,206.48581318914748,202.36112370064595,VER
13,147.94946427069982,140.66639720221198,VER
14,182.90410776231607,184.23136937650796,MAG
15,170.6451434446747,166.88845071370582,VER
16,226.60509500621032,226.25696128530018,VER
17,235.0408841071217,233.9333979085276,VER
18,247.78403716017317,242.9328528729292,VER
19,234.25598787515085,209.239661945679,VER
20,149.52346903368402,153.4890645268693,MAG
21,135.11526342975137,126.85022739654252,VER
22,181.03250778870495,177.9672811109063,VER
23,156.53789693555404,157.31099975920628,MAG
24,237.8038646148185,240.092658031746,MAG
