Minisector,PER,HAM,Fastest
0,293.11420752217686,299.1199349989326,HAM
1,167.55845240482165,157.76794806908887,PER
2,173.6993114692289,168.5277662607423,PER
3,256.1737949042424,254.80479386196592,PER
4,283.858379543319,291.36668866680986,HAM
5,253.8048004344653,254.77010897015873,HAM
6,227.14548026358278,223.5875817027417,PER
7,150.48848436706658,147.48410419255208,PER
8,229.18417995844774,227.87134498489553,PER
9,282.91363601454543,281.85694824704035,PER
10,301.6894500529005,303.57490306533646,HAM
11,311.35728456605045,319.57250290559904,HAM
12,316.0029959299048,329.33768507091736,HAM
13,313.58037237131083,326.41113746269036,HAM
14,130.61270708692672,120.73291516869838,PER
15,119.41209502086492,112.25015768685132,PER
16,99.6603508282187,105.26784583242443,HAM
17,236.48231616725886,243.31665454015868,HAM
18,287.52976176483185,290.1596049721637,HAM
19,308.6746691238095,315.22945551811773,HAM
20,319.5836435846465,330.7956947405752,HAM
21,321.72036423553425,332.3314177163636,HAM
22,120.40401668471884,124.77621192207748,HAM
23,203.8623776899408,211.17146813744296,HAM
24,270.73345638726744,272.6517445018182,HAM
25,285.7,,PER
