Minisector,BEA,LAW,Fastest
0,295.9843333594228,292.5314880850069,BEA
1,305.42992192,299.3582954181818,BEA
2,236.37525902786598,236.21486784288405,BEA
3,115.84819315527348,117.1438915350671,LAW
4,136.0048186614478,135.72720712862935,BEA
5,257.5411320015903,255.80172920329755,BEA
6,253.18486721810902,252.23140068848485,BEA
7,122.08008441274286,126.38131101771118,LAW
8,244.1095262169412,242.510597857094,BEA
9,248.69327389587303,244.13285014186667,BEA
10,212.67581526260503,204.11289828151226,BEA
11,149.54461768183893,142.46081147592827,BEA
12,200.28333847930094,208.9197906793651,LAW
13,263.3148949442142,256.0443020488931,BEA
14,116.4791545335587,118.23748060837865,LAW
15,180.3503987910101,181.716158768153,LAW
16,260.7028084917513,264.1950646866818,LAW
17,309.7841495430606,308.24027864045445,BEA
18,318.72941075,322.2389611082251,LAW
19,322.49425546812273,321.36838249411767,BEA
20,326.3391874951111,311.84878771435115,BEA
21,189.37384436308633,169.66586179750917,BEA
22,139.48105274949626,143.18945196133126,LAW
23,183.95882745593445,183.15605620666196,BEA
24,233.50519741575891,246.37870232182195,LAW
25,258.0291658666667,284.55999744,LAW
