Minisector,NOR,TSU,Fastest
0,250.29362303624447,251.30863130447716,TSU
1,119.13552116728233,124.74640101833411,TSU
2,255.93482945494515,258.7155418029278,TSU
3,297.54214696707487,303.38333913151297,TSU
4,297.80477116448776,304.34317459527335,TSU
5,302.08203241342915,311.09455318574544,TSU
6,307.10568527667886,317.3273555683556,TSU
7,306.2550567843357,319.64656915132275,TSU
8,194.12725644310694,183.93444342654948,NOR
9,189.481263823392,182.54297725860457,NOR
10,180.78127057675954,184.18162910167405,TSU
11,162.88516833160753,159.74750819562598,NOR
12,244.6191889647291,246.04144888380952,TSU
13,273.2008977690545,271.78986456636943,NOR
14,277.204616132517,269.20599110068963,NOR
15,264.05854242180584,275.2892503450835,TSU
16,181.42546969500452,172.41878364847483,NOR
17,182.13626341781475,181.96232326700564,NOR
18,228.76080708659592,223.82564294772487,NOR
19,279.53614548364675,280.54579386049073,TSU
20,301.49217595692306,307.17430539220777,TSU
21,309.54938080370374,315.9283220012844,TSU
22,309.05791664761904,316.70922826701695,TSU
23,241.7353966373299,278.45607927327916,TSU
24,104.66404779240848,102.64463243570938,NOR
25,216.5500032,216.35440181818183,NOR
