Minisector,HAM,PIA,Fastest
0,258.2280481616162,259.80806613946874,PIA
1,127.82346579506991,131.812065285739,PIA
2,201.55075640098764,200.65713781604276,HAM
3,246.94964719267978,245.96894031238094,HAM
4,253.78950440804232,257.36745944533334,PIA
5,173.4297358935873,174.3272576474638,PIA
6,146.56749790861662,143.67923420139684,HAM
7,187.15405291843553,179.73808370952355,HAM
8,99.33344590828584,98.1401041744993,HAM
9,71.79420967373231,69.10176122454367,HAM
10,97.20979987504762,90.04506628360295,HAM
11,181.7380265893273,172.9940294675664,HAM
12,243.4651784137143,244.50794468491227,PIA
13,267.83694465094015,269.0650116114286,PIA
14,279.42776484500763,273.09645728761905,HAM
15,117.86460042544061,108.66375711115984,HAM
16,145.51510778405586,138.69099837254603,HAM
17,187.0396795043771,179.47290679880754,HAM
18,195.35630984126982,189.91526575961518,HAM
19,210.19714924632575,204.97436812282828,HAM
20,132.65069271344763,131.21360320479843,HAM
21,115.95774375575681,116.9960538471573,PIA
22,95.4767117132141,87.80134295898554,HAM
23,194.53888300771956,188.24700708068525,HAM
24,249.302240040777,249.63985248627455,PIA
25,263.26785645714284,264.13999872,PIA
