Minisector,HAM,RIC,Fastest
0,257.385712067741,263.54942895336586,RIC
1,136.9730975483037,137.4504715914144,RIC
2,265.43262854965985,265.5475076410661,RIC
3,306.89416231624585,309.4313651460063,RIC
4,306.05071428571426,310.4153662359596,RIC
5,315.28193808349675,319.3021634477682,RIC
6,320.37213827838826,331.3746981052678,RIC
7,320.090902175224,341.64558134975897,RIC
8,204.34363068161312,194.97895473709573,HAM
9,205.61899004535613,196.30565077090773,HAM
10,182.72718569861271,181.7178440443525,HAM
11,172.53692745474447,171.30938091695097,HAM
12,259.9493295130795,247.55573608483436,HAM
13,279.80761850142983,267.86943867648273,HAM
14,287.0161950250441,278.00779006649657,HAM
15,273.25987286209175,265.0173835644705,HAM
16,178.2265798181322,170.92930574649435,HAM
17,196.71850791113187,192.47625403230225,HAM
18,244.29678819914102,244.46845655840852,RIC
19,286.49684639094204,285.6881461934776,HAM
20,305.39023333333336,302.4436693206025,HAM
21,311.5333770172093,307.3049382136625,HAM
22,308.92554563492064,305.1875110211515,HAM
23,251.66416479259593,239.70720547918367,HAM
24,126.51728664351273,120.20294264949,HAM
