Minisector,VER,RAI,Fastest
0,311.1380532368843,313.01907957894736,RAI
1,189.0908344661287,193.59965575252576,RAI
2,230.08973174910642,222.98079035297556,VER
3,284.13381493452766,280.8144388441911,VER
4,233.87765516634457,238.06286888555226,RAI
5,125.35531531508714,120.8587595663986,VER
6,212.81180738598158,205.74744379978625,VER
7,259.7853337656143,255.6608636532054,VER
8,204.43982729858473,201.43486076893367,VER
9,211.497043846205,205.48102794728763,VER
10,269.5098530381153,266.60423881721323,VER
11,208.75845003299693,208.36150505258018,VER
12,182.30826897815277,168.38003008141118,VER
13,263.1780182525516,260.84566033346596,VER
14,287.80816379192925,286.24110820516023,VER
15,256.1561058694443,260.4513585633142,RAI
16,244.16574824247246,243.24210106750658,VER
17,285.0840813521861,281.63736008667286,VER
18,309.02115743772544,305.57333075338653,VER
19,175.41736708218716,166.1636429676381,VER
20,210.9827736725044,198.44711492127826,VER
21,170.68555118581608,172.58188143995133,RAI
22,141.60050395704204,132.61139024214197,VER
23,239.04898867291197,238.62232259518441,VER
24,292.13897747146797,289.97477156347423,VER
25,307.75714377142856,304.4029856449092,VER
