Minisector,RUS,MAG,Fastest
0,326.1882654585034,323.7358523999204,RUS
1,335.38827164444444,332.6300556757143,RUS
2,335.7666019422679,332.161314592254,RUS
3,196.5199611364345,191.1918752566712,RUS
4,125.84563179567611,130.94237792407407,MAG
5,268.03345716043424,267.765180253898,RUS
6,302.4793732239506,302.44648018979603,RUS
7,318.70966588322983,317.4746328507936,RUS
8,274.1154882569697,287.82524349729465,MAG
9,144.22072531110976,139.5783799762465,RUS
10,222.6552383330994,221.6154911925798,RUS
11,231.67949666717064,221.32556960251264,RUS
12,205.12401183899013,198.32867132247824,RUS
13,272.7893604264218,266.44414343953173,RUS
14,308.0604949316248,304.72210324745197,RUS
15,323.5551337447619,321.59496511111115,RUS
16,265.3340404061111,287.6355945788958,MAG
17,223.06474475752654,207.94353059235397,RUS
18,282.4557581643653,272.2362586925869,RUS
19,312.14622058251234,305.7942723309133,RUS
20,325.9541480949357,322.47854594071,RUS
21,303.8450193220796,317.6903860267396,MAG
22,215.2597495602789,211.9924456362795,RUS
23,270.43316266125714,264.6607372568381,RUS
24,307.2864868540488,302.6200538710391,RUS
25,319.1562512,317.8074069333333,RUS
