Minisector,PER,KVY,Fastest
0,307.35356447411147,287.88104144,PER
1,313.30234469467786,285.2032306882242,PER
2,162.13814438941068,164.70053716363637,KVY
3,229.865346262956,227.2509231924395,PER
4,285.025252582491,270.22868863901215,PER
5,307.3446762666667,286.40717577989415,PER
6,312.4247684740741,291.09517541052634,PER
7,156.9234434095137,150.1256908350877,PER
8,137.38892172481036,143.21508749134355,KVY
9,259.02107242666665,250.27310550303034,PER
10,296.688993981338,278.5489923901579,PER
11,296.3593789874326,289.1932898290344,PER
12,139.2846954201738,147.0844928473008,KVY
13,204.73801230153427,201.94772270926438,PER
14,264.58979194666665,250.56910889244057,PER
15,202.13356418703177,205.39728893809317,KVY
16,226.44345307826086,222.86359477638095,PER
17,217.7119857123129,221.6597499483086,KVY
18,248.01354076874097,250.18012992290247,KVY
19,279.02675497543856,274.03328244861785,PER
20,293.1473756152156,285.38233135941095,PER
21,261.9849917897388,264.294898554195,KVY
22,222.16929827386107,225.97125828228016,KVY
23,215.06547968964412,210.58389907738893,PER
24,278.2530663847619,263.30937456000004,PER
25,,278.19937858180754,KVY
