Minisector,HAM,NOR,Fastest
0,288.00955376,290.3508853439891,NOR
1,300.50671318518516,293.98530756491226,HAM
2,176.38266084923478,161.00748405814335,HAM
3,223.92565310068315,221.66144579079025,HAM
4,270.3555185338032,270.5184090032307,NOR
5,288.1826391111111,287.2739036310777,HAM
6,292.1257919921212,286.01638472982455,HAM
7,181.99013039124665,177.92246467543623,HAM
8,128.60628170563575,123.49988381654161,HAM
9,248.57776562433403,247.99237822146492,HAM
10,279.8774663534742,280.83394077893155,NOR
11,290.11493260405825,285.1271930385965,HAM
12,156.02174545933775,145.95338185803797,HAM
13,192.40232423207522,194.86365606303843,NOR
14,258.7009354376417,254.8500027446098,HAM
15,218.68130294423298,194.734051397458,HAM
16,225.61544612877364,216.65748975446874,HAM
17,227.8454235410212,213.50409578057145,HAM
18,247.12215806060604,245.4264430360463,HAM
19,274.7320912159145,276.71111202215843,NOR
20,289.8489218915421,290.2652881964912,NOR
21,271.0741253614035,263.13688705399016,HAM
22,235.84687771488368,225.3600572963771,HAM
23,204.94582685266727,204.89383415834672,HAM
24,261.3940652000411,263.9913056326213,NOR
25,278.6333333333333,,HAM
