Minisector,HAM,TSU,Fastest
0,257.2236889371072,255.1169011209642,HAM
1,209.86730726007374,213.08368323260234,TSU
2,209.62164037825912,207.36925959081887,HAM
3,257.55990673070306,257.2681759394048,HAM
4,270.4795400156136,271.05395337317333,TSU
5,289.60453882962406,285.8214675705887,HAM
6,167.94760553033365,162.2894058452595,HAM
7,187.52726626725328,187.43755180835893,HAM
8,268.3444951776439,267.5316624337222,HAM
9,294.92714277128965,289.22852661553304,HAM
10,306.3694978079863,298.86719660855545,HAM
11,307.32139562843514,297.95895614883693,HAM
12,117.12863188895501,113.87046001583504,HAM
13,188.3842693018951,187.13114858330445,HAM
14,271.046427950007,269.5700839519081,HAM
15,296.41656511184533,292.46499460961445,HAM
16,303.579934571813,296.84770143709267,HAM
17,190.15139561686047,187.51595151075335,HAM
18,222.6534680041274,219.3871207207222,HAM
19,270.73464635604813,264.7627686119294,HAM
20,155.16510359401067,160.1224667107897,TSU
21,148.0823856045632,146.9827936600144,HAM
22,223.08130583341847,221.00154908607055,HAM
23,227.80223897949875,239.1153280291685,TSU
24,161.15572814798037,155.2074825683287,HAM
25,228.60416533333336,226.68888888888887,HAM
