Minisector,ALO,COL,Fastest
0,301.3231646710104,294.0166708881957,ALO
1,155.27294843792015,152.06264740489408,ALO
2,148.9252239707244,155.3167800092909,COL
3,226.806279837788,222.18494928258764,ALO
4,285.99145034444444,286.6946233000161,COL
5,289.3553675522932,293.16765402666664,COL
6,143.81027171084634,143.01140679913132,ALO
7,136.5403458529518,135.24710751536315,ALO
8,133.92226612705437,142.42543304431038,COL
9,186.73565007407407,171.77644261506418,ALO
10,125.26431580999488,127.8755032289928,COL
11,126.45197964129649,131.8521674291715,COL
12,159.94054081823722,149.58430356664957,ALO
13,268.33945595163857,263.4186513136952,ALO
14,293.1027178666667,288.23056564571425,ALO
15,138.14810531024762,145.7992159252796,COL
16,196.46196363330375,209.6476790747484,COL
17,164.63615249670664,155.2728606737115,ALO
18,272.2481502374432,261.21213178197803,ALO
19,294.8507396858608,292.3076196066533,ALO
20,309.10941647375705,307.6993957906336,ALO
21,317.3128655345029,318.9020663357823,COL
22,322.3279816171768,325.2700837008818,COL
23,325.8815908072727,328.0584210863158,COL
24,325.5971490694737,327.5419115146585,COL
25,323.2240667426522,323.41142838857144,COL
