Minisector,VER,STR,Fastest
0,258.698877374359,261.3150240530845,STR
1,242.1417234103387,227.85519565889766,VER
2,145.83753516501605,131.25706154530943,VER
3,238.7638242778414,235.21929575683347,VER
4,268.66135679390476,271.37520393513495,STR
5,190.35501601912333,179.13673334911533,VER
6,104.84584676678163,101.24585264458368,VER
7,124.53783801781557,133.68049862027394,STR
8,246.03256874555166,252.13996676458257,STR
9,173.58690546051344,164.5230494839703,VER
10,185.6403224240404,176.12163547908614,VER
11,256.9966661546667,258.4479167589744,STR
12,248.8952599259153,257.91153313312685,STR
13,264.1784250183542,265.13186793260076,STR
14,280.91576064927534,284.3244464480773,STR
15,273.6287106003552,269.6923812312822,VER
16,143.52448917927103,137.26548599952758,VER
17,234.95821309714285,228.85958267428572,VER
18,276.90019386623106,277.1095843918788,STR
19,286.19207905605356,288.52523289440995,STR
20,288.18265684502165,291.5730072115942,STR
21,288.19535103472987,297.6225424533308,STR
22,146.948839376109,147.7297600333638,STR
23,83.28202712234938,81.33534298426267,VER
24,161.41726684273638,158.3151862755886,VER
25,,240.993056,STR
