Minisector,VER,ALB,Fastest
0,279.62195558941795,278.37427996414857,VER
1,117.68878291760473,117.6009055241031,VER
2,156.49322277412168,148.0856789245213,VER
3,209.16402356441205,208.21037302002887,VER
4,160.31208595017637,160.70454356708666,ALB
5,241.43075967602124,240.45994401966036,VER
6,231.60017610774614,194.52671351966606,VER
7,135.9542096155973,132.21977236462584,VER
8,233.6928457528757,231.89957134754346,VER
9,272.5917750559617,273.2941483915593,ALB
10,281.05590068888887,283.55814072888893,ALB
11,148.00217381541125,143.28687693825395,VER
12,216.34772478747763,212.16242968449436,VER
13,267.10382885829176,267.3065441169665,ALB
14,270.7260860177915,271.1851538661587,ALB
15,102.2645033448912,99.39054709608651,VER
16,216.86552338934135,218.2730166125255,ALB
17,270.2727616048892,269.98316217640695,VER
18,290.11911215574816,293.8652426179663,ALB
19,302.06264665681306,302.6094378936481,ALB
20,308.78260424,309.92109707332145,ALB
21,290.48456378695397,286.2251659391388,VER
22,150.55844203930633,145.44614894777771,VER
23,227.9417706660691,233.84381135528344,ALB
24,271.5742713424455,275.9414588266667,ALB
25,283.67142948571427,,VER
