Minisector,RUS,NOR,Fastest
0,242.6475984644217,242.609386764873,RUS
1,271.7682535908358,277.0490999791181,NOR
2,177.92496771008368,171.50415722573544,RUS
3,155.67872092500716,152.04367522388674,RUS
4,257.74821438802724,255.64410839416934,RUS
5,268.8202632489337,265.3727236342857,RUS
6,228.71498244962962,213.10426881564422,RUS
7,208.50378542787016,196.01177063710654,RUS
8,160.5913149664378,149.39584139319422,RUS
9,216.75209178461057,213.51901263514637,RUS
10,272.2511966672811,271.3665260080055,RUS
11,123.49083062431235,112.95453827035936,RUS
12,210.6568851446276,214.24448430619415,NOR
13,269.38707160076194,278.06741598933337,NOR
14,290.03635443232326,308.36181338355766,NOR
15,298.44880952380953,321.86460861097504,NOR
16,234.68680165577533,205.3920100440642,RUS
17,135.23197349089162,121.1158350068664,RUS
18,137.5732823925665,133.01239714494233,RUS
19,123.25788465162792,122.56862922857496,RUS
20,228.06253851076923,231.08560099287138,NOR
21,258.31163120765217,260.25957834724386,NOR
22,233.1879609094083,218.444175197945,RUS
23,216.679427022281,189.7644547239261,RUS
24,138.56619190932403,133.35095298412332,RUS
25,210.20000426666667,,RUS
