Minisector,TSU,NOR,Fastest
0,255.1169011209642,257.12821594525565,NOR
1,213.08368323260234,215.21088249915928,NOR
2,207.36925959081887,211.6397770006499,NOR
3,257.2681759394048,260.53443721285385,NOR
4,271.05395337317333,274.2883250370899,NOR
5,285.8214675705887,280.1641304115942,TSU
6,162.2894058452595,167.19632385284226,NOR
7,187.43755180835893,189.89390736987698,NOR
8,267.5316624337222,268.28382299188473,NOR
9,289.22852661553304,289.0406545444452,TSU
10,299.009596762712,295.3314308028919,TSU
11,297.77527233742046,289.9491380934923,TSU
12,113.82180815115987,113.95261541028175,NOR
13,189.3703000122252,195.11601334915918,NOR
14,270.1588286543377,270.9269796805947,NOR
15,292.8366442958402,291.356904731646,TSU
16,295.636931809393,287.4725027415071,TSU
17,184.8588086536105,181.91634423206605,TSU
18,222.0429541073889,228.6342142444572,NOR
19,265.29392451278557,264.401639413041,TSU
20,154.3299898730708,154.8563101183163,NOR
21,147.62114388272724,152.42189572015826,NOR
22,222.90695492177056,223.57053745549572,NOR
23,233.65967348003045,223.53007373849894,TSU
24,158.34597450483662,165.04362889588515,NOR
25,228.23333119999998,,TSU
