Minisector,OCO,BEA,Fastest
0,281.412535157962,291.1336594426272,BEA
1,148.5684484655383,147.34126403190723,OCO
2,221.2688822283015,227.3348239964322,BEA
3,281.16909948853004,280.0604650938525,OCO
4,314.57202761205065,311.4460142334199,OCO
5,297.31305401065566,302.14195573280705,BEA
6,148.4383530347903,151.89871231280952,BEA
7,255.7133000852711,253.50784572111166,OCO
8,114.30300442750692,111.36210189970946,OCO
9,166.46032882966676,175.3590272694472,BEA
10,277.2788835059765,281.35545649982873,BEA
11,302.8115172342857,305.0143693919628,BEA
12,204.32119606208977,211.61013463089935,BEA
13,173.53945306697008,172.55110547209634,OCO
14,280.9509016342857,280.8510743423457,OCO
15,315.0645641037399,312.995845415873,OCO
16,330.52739313131315,327.5460687512937,OCO
17,338.1744809001146,333.7099477084617,OCO
18,341.69707585497076,337.21831175026455,OCO
19,342.48103819911114,339.5678661010101,OCO
20,184.3963023776002,188.03949827468745,BEA
21,186.0430729072704,181.14247980858943,OCO
22,283.730390021978,285.5919141653683,BEA
23,316.26487940693875,315.1401975366289,OCO
24,329.5573613527843,324.2088256740136,OCO
