Minisector,LEC,TSU,Fastest
0,256.4038407922548,250.41334078375723,LEC
1,129.92336391669207,123.19604049282337,LEC
2,259.1475721760661,259.84776449937857,TSU
3,301.6924892672736,304.1270347976,TSU
4,302.7506746311111,304.17733514432234,TSU
5,309.29423416681135,311.09455318574544,TSU
6,313.65307274317576,317.4301495849573,TSU
7,310.957696243855,319.52156915132275,TSU
8,193.74711124511578,179.16477349147118,LEC
9,187.5359616535285,186.57822212174761,LEC
10,185.7631963932091,177.83921460594755,LEC
11,169.94275521624763,163.53452118263897,LEC
12,248.78469898336047,250.50716378428572,TSU
13,272.3471591947455,271.1374771952442,LEC
14,275.3500097043224,270.2920561909678,LEC
15,272.30113391873846,265.4552431312136,LEC
16,178.17768892348306,172.80031866711818,LEC
17,187.64889362178317,180.61906929875167,LEC
18,234.48299659346947,227.59697084146939,LEC
19,285.3249040409504,282.6441903604726,LEC
20,308.7435254289657,308.3635646751707,LEC
21,315.98691191527615,316.49875180930684,TSU
22,313.2270112253893,316.58586170285713,TSU
23,252.33317143799772,251.74896937283782,LEC
24,110.47344639417624,106.00543850852308,LEC
25,,221.7562464,TSU
