Minisector,RIC,PER,Fastest
0,273.90329634646906,277.55383101809457,PER
1,291.1231061818182,296.79318204675326,PER
2,222.7797265736563,227.6989834340136,PER
3,129.60509225086523,128.583893971361,RIC
4,186.31332673414,186.37350856906383,PER
5,124.66590473349699,118.93248628644236,RIC
6,213.8192097924943,216.27334014693878,PER
7,261.43458124094525,264.4948739937443,PER
8,184.54098152926682,175.69958699542101,RIC
9,181.3831789468159,183.8868513130251,PER
10,260.56448713815433,268.4604158222222,PER
11,189.17923401699045,178.35122847793622,RIC
12,166.945366144053,167.62248323063787,PER
13,253.99231951765762,259.54989710795485,PER
14,270.7831631278935,276.28260823188407,PER
15,283.29563504761904,289.99346295924886,PER
16,209.0208538381791,201.09062653333334,RIC
17,198.68489606666668,199.18677992012934,PER
18,245.87942896731923,245.82156989561904,RIC
19,282.33876860289854,286.1969804314193,PER
20,292.3112251912993,297.4522391147392,PER
21,197.86924679951605,194.52213201435836,RIC
22,151.09377632581177,151.9900068244898,PER
23,157.0112500068564,155.01744915490283,RIC
24,228.06815295036475,228.641004730912,PER
25,260.8333333333333,,RIC
