Minisector,SAI,NOR,Fastest
0,260.28247398717394,259.2282404345679,SAI
1,221.74236844226505,234.89867658175325,NOR
2,145.59160489876544,148.47121011318671,NOR
3,242.85488040257775,244.41107420341567,NOR
4,269.954736952381,268.79816661333336,SAI
5,176.88178881058042,187.34119522126196,NOR
6,97.80535293312215,103.17119616214161,NOR
7,137.40513170655933,135.4787504885077,SAI
8,252.19520579164833,248.79465094379756,SAI
9,164.02503434874777,173.56013451209094,NOR
10,186.43680427456746,188.36585525014107,NOR
11,259.32415575459373,256.32489305982904,SAI
12,249.80907746813185,250.73481437377717,NOR
13,266.8329306875039,266.3139999146667,SAI
14,286.80199257971015,284.42688949137886,SAI
15,271.67275505397515,288.6068848231884,NOR
16,139.90053427388452,151.73859756606154,NOR
17,235.88183149151996,235.95621675509946,NOR
18,278.6724635826087,276.4168972564029,SAI
19,288.90346787246375,286.8524854266342,SAI
20,291.9429347246377,288.9037525664597,SAI
21,293.23667933737374,291.10942028985505,SAI
22,147.28222009321175,156.05147073021888,NOR
23,84.28635749099068,84.4145514439393,NOR
24,167.8290561403509,167.24014844952382,SAI
25,244.22083519999998,240.2750016,SAI
