Minisector,GAS,COL,Fastest
0,313.9495154410339,312.4046229783252,GAS
1,326.9908527769133,328.74227440852485,COL
2,332.1793092524494,332.6301767756708,COL
3,302.0510249341793,302.0646193366667,COL
4,150.30644802365933,149.69621185104663,GAS
5,183.59334672020626,191.521157832815,COL
6,210.78085725372685,205.12986501381428,GAS
7,253.03334955903608,252.74936127681667,GAS
8,240.56082284539139,228.39330774030879,GAS
9,146.26146339997985,143.7697560776705,GAS
10,205.66221721552336,203.06736667839692,GAS
11,121.6988930590161,115.16717455682091,GAS
12,226.05242863931971,231.04397883957876,COL
13,162.41602131982458,196.46904167369868,COL
14,200.7213158733759,189.86841886273845,GAS
15,214.45893664968426,214.6208066015415,COL
16,251.68512787671773,244.520676692679,GAS
17,289.3593133844394,286.246470467885,GAS
18,142.6540118946031,153.2840403343942,COL
19,148.70204291405068,145.81850386511155,GAS
20,128.178864580178,130.11328837378795,COL
21,221.117035829813,211.94167465382657,GAS
22,250.6703373995507,245.04707832377466,GAS
23,224.5045038029585,226.36466261915328,COL
24,273.19839218908265,271.63486149829913,GAS
25,300.256268076877,300.140626,GAS
