Minisector,LEC,LAW,Fastest
0,276.99634252506513,285.03366304839744,LAW
1,285.08151501284846,299.93296402739776,LAW
2,269.7971676823147,280.31443291812326,LAW
3,177.35005489768838,162.14861779929825,LEC
4,115.82489398728136,114.18707103307032,LEC
5,245.72470520353247,240.60669807545864,LEC
6,298.22889610419196,287.40920252554866,LEC
7,309.6603219690816,293.72225545016,LEC
8,171.71236276437773,168.8244516537442,LEC
9,136.77714896427383,137.81394304430424,LAW
10,248.93455670457394,251.91457253836373,LAW
11,283.83058954118746,287.31641348444447,LAW
12,288.85932533038743,291.3638501593737,LAW
13,275.4594550739927,263.4603719675152,LEC
14,287.86121281626913,281.314252446013,LEC
15,279.6569723926833,277.7288251513651,LEC
16,243.69662638134383,239.1012343206597,LEC
17,219.00511668215182,213.40469280440513,LEC
18,285.00882364275134,280.35446846687273,LEC
19,309.4372223573333,299.8025509877551,LEC
20,306.0085381721553,298.92092982724637,LEC
21,225.89277037641725,216.6008607595171,LEC
22,235.07223021824822,244.05786017611115,LAW
23,134.76579288699762,130.76652254693505,LEC
24,206.93835505913123,206.0222463265801,LEC
25,,259.2333354666667,LAW
