Minisector,HAM,ALB,Fastest
0,232.04186661245154,232.09494104606006,ALB
1,281.2855932110255,279.2484363999153,HAM
2,295.38624056074474,293.1632911339625,HAM
3,302.50407716130707,300.08594256876506,HAM
4,277.8005062885794,267.67838382217946,HAM
5,174.54457065078898,169.7046605353881,HAM
6,262.62678239461695,260.24787404253937,HAM
7,278.41908932931705,277.7701958238806,HAM
8,224.78829994395673,222.91164410694327,HAM
9,221.67810273908657,216.61168150583623,HAM
10,193.71973441112002,185.17351501848552,HAM
11,228.27944053674523,227.60773391722051,HAM
12,213.4175949349278,210.85877541884938,HAM
13,223.369713972983,220.09085218032723,HAM
14,224.64014771213706,225.9239233565302,ALB
15,187.42328840589832,183.75349954613193,HAM
16,247.64884646891662,245.31813994546584,HAM
17,284.8424519907042,281.95409509958836,HAM
18,296.34466210443435,295.09202515074276,HAM
19,287.08811714326015,286.40091789386685,HAM
20,137.79162501304373,134.48384709376472,HAM
21,168.6495385750066,163.70875177367188,HAM
22,153.06353750405137,158.00733224400403,ALB
23,210.28789848640062,209.1252812398018,HAM
24,150.6893287676846,152.68417953235468,ALB
25,185.6,,HAM
