Minisector,PIA,ANT,Fastest
0,268.82585098209523,270.11808700739044,ANT
1,287.30382239492064,288.2040345099112,ANT
2,293.78607162890756,295.68827050047616,ANT
3,131.24465315861949,124.95537167786398,PIA
4,198.08433210655625,192.8022843710446,PIA
5,255.22358610665668,257.87685892789113,ANT
6,145.2537878290476,146.08076656186938,ANT
7,211.6578684409931,201.38214019417256,PIA
8,258.2722124958025,255.25841576114286,PIA
9,274.82480236270675,279.6544335759626,ANT
10,245.79135031594134,236.47911455560697,PIA
11,185.334931336409,183.49946373790775,PIA
12,198.439878376178,189.9055423360593,PIA
13,141.00388937415917,142.47023906835977,ANT
14,178.74901341619446,173.0015454784699,PIA
15,166.6338278179069,160.82859864407098,PIA
16,222.01180117267083,215.68714461758105,PIA
17,245.17641662464766,237.7643436269022,PIA
18,249.05540953452171,240.35575773825292,PIA
19,241.57097866545732,235.945846248823,PIA
20,149.91268037284826,144.31446162027268,PIA
21,134.4769294605628,134.78841202664063,ANT
22,169.7085432373788,168.10803214405254,PIA
23,153.8178599268661,151.49364332563331,PIA
24,233.13399026526315,228.4841606423372,PIA
25,258.08571245714285,,PIA
