Minisector,NOR,LEC,Fastest
0,300.57807968198756,319.64185604848484,LEC
1,302.2496212363636,320.0890578961511,LEC
2,249.74532489288532,263.7733333333333,LEC
3,151.89964844391824,149.32084735451664,NOR
4,162.50644966297696,163.43579046153846,LEC
5,211.86931667342466,213.4516469231746,LEC
6,224.98928107583464,228.0642132078236,LEC
7,211.42711415896554,210.16202789622332,NOR
8,261.92674686914904,259.4133466393739,NOR
9,258.62425599263656,253.53408287266316,NOR
10,274.99795839752306,268.7218537698242,NOR
11,273.46362692180884,273.34474630724634,NOR
12,273.9041668888889,271.72145182456296,NOR
13,260.44449852342854,265.9907590263255,LEC
14,176.91609808364865,177.71557572932178,LEC
15,243.52764950582923,235.51823689909313,NOR
16,207.0565828563668,202.89149266912867,NOR
17,171.84695570345744,166.5222744781955,NOR
18,256.5673029184787,255.80258776420305,NOR
19,284.9297860256253,285.4821428571429,LEC
20,250.69857671351548,237.90538545503716,NOR
21,188.07033915948318,182.1380411012987,NOR
22,255.75098100557847,255.4115840493281,NOR
23,284.34088958508215,283.5968820535148,NOR
24,296.31306804848487,297.74640155151513,LEC
