Minisector,PIA,COL,Fastest
0,289.8327501019806,294.0166708881957,COL
1,155.0319817153803,152.06264740489408,PIA
2,148.3617020956362,155.4024362881446,COL
3,229.31218162511465,225.95150094051866,PIA
4,287.14754173598845,287.4639826841834,COL
5,285.70882322351963,289.3266337015873,COL
6,136.89435485969713,142.68317620592376,COL
7,139.00432899523335,137.4442412362741,PIA
8,135.0441831265874,134.84908234653798,PIA
9,193.33152022327207,183.67966159730778,PIA
10,132.11571302381677,126.10738728696383,PIA
11,124.1134249235235,129.13439990329732,COL
12,162.35346762455026,158.20730687168114,PIA
13,267.21387811321995,267.0062365564983,PIA
14,284.4721193288676,288.9035199522807,COL
15,148.74101841638984,147.6219697158438,PIA
16,201.52012717545807,206.21988220345492,COL
17,165.80847259436314,165.462057494422,PIA
18,268.0314582006621,267.4681775193651,PIA
19,297.1025296016768,293.60259889278166,PIA
20,311.00730453490826,309.10848661660765,PIA
21,320.03157904360904,319.4825268182857,PIA
22,324.91883579051853,325.64307533079364,COL
23,326.8562499809524,328.33944448,COL
24,318.95729125155555,326.9702845432299,COL
25,316.0,322.96749952,COL
