Minisector,RAI,VAN,Fastest
0,280.98270434708996,277.70677864973544,RAI
1,306.32770360119696,307.99424564096444,VAN
2,320.76388864,329.31043943150183,VAN
3,327.76831483076927,343.1065473523809,VAN
4,331.6360119619048,344.5651785142857,VAN
5,333.2548937426522,342.72628299487184,VAN
6,208.74842311552794,186.03883485866666,RAI
7,109.69233596503302,105.68734070504837,RAI
8,190.68156679704404,192.60930005079365,VAN
9,266.24036467488753,266.153282296781,RAI
10,294.5699997866667,297.5877777777778,VAN
11,168.10075939998873,154.33916696,RAI
12,100.57152174704814,96.72928997988309,RAI
13,119.68038955572715,120.03178069376571,VAN
14,227.8035779094386,216.61598943722944,RAI
15,178.21739153623187,183.04748905051707,VAN
16,219.32145556643445,209.95872938956913,RAI
17,174.648334336,172.49776258648197,RAI
18,237.71470083657474,240.90011017543858,VAN
19,281.00755226666666,277.92556114784736,RAI
20,248.34166666666664,221.22990866967737,RAI
21,145.3739827317972,133.97016342465733,RAI
22,100.27378181907767,97.85501886892814,RAI
23,128.74336558431372,125.65492209960551,RAI
24,232.08613519650652,230.91929807719296,RAI
25,263.229168,,RAI
