Minisector,VER,HAM,Fastest
0,305.2850835274831,304.9373891555957,VER
1,224.7716724573776,236.2628714138351,HAM
2,135.28797555758075,130.64283335070755,VER
3,232.73637017459401,239.90483706489206,HAM
4,194.58525040166586,191.26712426383253,VER
5,247.84025404043638,239.62073367286936,VER
6,231.36118123757208,228.22824481966694,VER
7,260.78638605401835,250.85328552563809,VER
8,293.0855671749573,293.19982008751344,HAM
9,197.96337920513375,210.62935622462118,HAM
10,206.41163576609904,204.72920890653145,VER
11,276.53685206098254,275.99960274853134,VER
12,216.86214083404522,210.41964197303454,VER
13,253.67854887567864,253.5111689698276,VER
14,293.82432699791514,295.22070989311896,HAM
15,308.732875008,311.41281181185894,HAM
16,315.09602771630176,315.22127975328794,HAM
17,214.76328118371052,208.78276377470667,VER
18,266.42011239203833,262.6151380278857,VER
19,297.92242213040294,299.8775151881393,HAM
20,306.46258781192984,323.2687132395768,HAM
21,309.06454545454545,328.8977604027211,HAM
22,152.74047186964836,154.67393509889177,HAM
23,232.98391055915218,236.8287790713405,HAM
24,285.51589535887126,297.17483432524017,HAM
25,292.77000000000004,313.08541653333333,HAM
