Minisector,VER,GAS,Fastest
0,257.2776815827823,261.1467705426046,GAS
1,130.67786402626146,131.62571075571017,GAS
2,265.8251829379515,268.5934884675742,GAS
3,307.5525422824418,314.6821853006803,GAS
4,305.09570228545334,314.94876524367857,GAS
5,313.32217251428574,325.0934523428571,GAS
6,318.85921513086424,331.2264660246914,GAS
7,319.90782075663833,325.3183121623745,GAS
8,198.54991119549356,187.2551860796158,VER
9,193.68100730027436,196.37959673968453,GAS
10,182.74338426791311,179.3883381924198,VER
11,166.87281389985304,169.27095009332223,GAS
12,253.80544264595736,253.514882204068,VER
13,274.63482259367845,272.5351563,VER
14,280.53553736116135,277.4625201501142,VER
15,271.4808602333333,269.29191825454546,VER
16,181.324910794408,183.3572440606274,GAS
17,192.17546918391525,191.85340074901833,VER
18,243.84264508790568,244.22018681040592,GAS
19,287.9918676375212,289.43431415793054,GAS
20,308.73938081874314,312.15591680775725,GAS
21,315.96056548571426,319.1672839506173,GAS
22,309.472959292517,307.6670685783796,VER
23,251.10142935510203,249.28792131666265,VER
24,120.0686853742031,116.81364516171683,VER
