Minisector,BOT,SAI,Fastest
0,265.64967938461535,263.1427872,BOT
1,252.6031937241925,248.65540424691358,BOT
2,173.24304245283557,169.20486998696742,BOT
3,250.6378558018405,247.3744434093827,BOT
4,276.6744790920635,273.34916612266665,BOT
5,193.44096944021908,198.17621330935253,SAI
6,127.19294244277317,125.3044646463003,BOT
7,165.55943307515858,159.3104503301927,BOT
8,262.6650395704632,256.34986779674364,BOT
9,183.6830368,190.050252352272,SAI
10,189.6496733742095,181.5479179968688,BOT
11,260.6853807725714,252.76518546229858,BOT
12,242.3147903916975,244.12669415384613,SAI
13,263.31480924038095,260.83254562439544,BOT
14,288.1408014041805,282.80935151839805,BOT
15,287.03083997083354,293.49275501449273,SAI
16,156.31470287539085,152.83498736161837,BOT
17,245.66040489876542,234.63532614720282,BOT
18,288.29249054545903,282.4401408294667,BOT
19,300.2033530801674,296.04642834285715,BOT
20,305.00795447272725,300.05188810037515,BOT
21,308.75122751304775,305.2087866993197,BOT
22,152.40457895196297,170.87431573415114,SAI
23,98.35445079555426,93.16470506983141,BOT
24,184.89509012683752,168.30026143057964,BOT
25,246.16418138561,241.6374992,BOT
