Minisector,MAG,SAI,Fastest
0,301.90717949307793,285.56993851487533,MAG
1,319.7908856,295.47451794952445,MAG
2,328.82307184782337,299.8556573641949,MAG
3,329.41893596190477,301.01200945143603,MAG
4,165.4460521379686,174.07662870385076,SAI
5,201.6757055723257,203.93662969095644,SAI
6,239.47089532000717,213.79869568844558,MAG
7,263.14590147018185,253.80024624083958,MAG
8,278.766353433263,268.3272842084979,MAG
9,164.43131552099797,166.75263084124808,SAI
10,225.17303662667,230.30386459805095,SAI
11,142.85055870402513,140.39213020311092,MAG
12,217.9147386939635,216.21234338205815,MAG
13,208.15393338023668,202.98048400772763,MAG
14,206.7489084920364,209.9898924373092,SAI
15,248.9242547711956,244.11570929245943,MAG
16,255.30936113586614,254.77553546885557,MAG
17,281.58068305302413,277.98732287480334,MAG
18,157.1387280693808,156.98374269788647,MAG
19,153.34087258317157,155.70240291556408,SAI
20,141.8873854632165,145.34089214095218,SAI
21,173.21671268840933,172.46823337454975,MAG
22,118.42022408688845,118.38327689173502,MAG
23,217.81339138669216,218.59765649833594,SAI
24,268.5274921945227,264.9415255108267,MAG
25,281.48333226666665,278.15062757472737,MAG
