Minisector,LEC,GIO,Fastest
0,292.5442163636124,302.98052490017506,GIO
1,298.0889365715343,301.7312644388572,GIO
2,162.69078384354734,153.4011450457261,LEC
3,228.7546132125087,228.89376667271443,GIO
4,279.05564914918085,284.40325932723624,GIO
5,296.76982428632317,308.6718433392666,GIO
6,301.4227902352217,321.64263300902593,GIO
7,160.44243280763257,140.15960663541742,LEC
8,139.24708002465007,148.34274742052122,GIO
9,254.7295104753124,258.01325281646393,GIO
10,287.6587610382837,295.5912199743408,GIO
11,297.47136819345155,301.45743135453165,GIO
12,146.0535286149709,134.4319674740152,LEC
13,198.2012457498913,204.35383434460525,GIO
14,261.22741967284213,259.546693379043,LEC
15,203.59981089553804,188.1466289995137,LEC
16,227.32599785569613,223.6613001286915,LEC
17,214.98188166153096,204.00957136687484,LEC
18,247.57799286184138,246.4585923704527,LEC
19,279.9825142190376,276.9361905641881,LEC
20,296.48388895492064,291.6524994203963,LEC
21,261.52117332597726,253.16313341020683,LEC
22,227.14937961731727,214.29987432252892,LEC
23,205.0517521907565,215.2438753136635,GIO
24,267.64491265392087,275.1515000462222,GIO
