Minisector,GAS,RAI,Fastest
0,273.6565886489591,275.02686635650025,RAI
1,298.37691579469333,301.3763883259259,RAI
2,309.98823504313725,316.17668027338937,RAI
3,316.2509802039216,323.9424476666667,RAI
4,320.2401960336134,328.87959483207345,RAI
5,321.0041669019608,331.4270833333333,RAI
6,210.05469160834983,215.88837506813186,RAI
7,108.71982469054171,105.38809449908219,GAS
8,183.8314342559291,187.29827339770114,RAI
9,263.99636396158706,265.409898562406,RAI
10,291.6379381894737,295.18420979649125,RAI
11,170.39950670981005,170.34724326374186,GAS
12,98.12008511858693,94.73911237264069,GAS
13,116.06462531906068,116.05268159605711,GAS
14,221.54230697002683,223.45848236825395,RAI
15,188.1714283809524,184.41699631982522,GAS
16,224.59983665764491,219.9462733383023,GAS
17,181.30281800126983,181.37935718322936,RAI
18,241.3590965128022,235.85789879826842,GAS
19,281.8323300170426,279.95833240701756,GAS
20,250.72058016507938,250.05326449635865,GAS
21,145.85522701154468,141.50146424504504,GAS
22,97.92724274157483,97.3449969688862,GAS
23,125.64913465770543,124.67495895464756,GAS
24,224.27300562893984,227.86032403478262,RAI
25,257.24999679999996,,GAS
