Minisector,VER,BOT,Fastest
0,274.53016752589076,278.4121412873231,BOT
1,233.9958783945319,232.1457918046056,VER
2,119.45693833899122,114.16117777507401,VER
3,196.3115791458331,196.38953311456962,BOT
4,183.29250417132837,176.0384148615212,VER
5,217.79876162514907,217.64054244174477,VER
6,274.34739269309813,277.20556493058587,BOT
7,292.51026834634774,295.6850956546151,BOT
8,186.44313253646212,182.69399234654927,VER
9,135.50550719798682,131.38649390729884,VER
10,136.60632599755778,134.9777984265422,VER
11,190.8159782670759,192.70353048318466,BOT
12,221.87602320092392,219.1963235415161,VER
13,137.8219920668175,133.86031805667767,VER
14,158.9347132400787,152.6540674597698,VER
15,125.04689282727205,125.62517111279172,BOT
16,254.1594536886043,256.2675476717104,BOT
17,146.7070402584082,140.37217832989413,VER
18,201.93443250876885,203.64021720651175,BOT
19,137.13359736483085,132.29656700995073,VER
20,152.04716616794246,146.85282256514657,VER
21,127.09451059221958,128.64535118339046,BOT
22,148.025604450046,148.77335169588048,BOT
23,218.74794869075777,220.7196287317745,BOT
24,231.71151087535577,232.86506852727894,BOT
