Minisector,HAM,BOT,Fastest
0,288.00955376,284.90979168,HAM
1,300.50671318518516,289.35789466925024,HAM
2,176.38266084923478,171.43091482150538,HAM
3,223.92565310068315,218.44904952421118,HAM
4,270.3555185338032,268.10392871619047,HAM
5,288.1826391111111,288.46754380350876,BOT
6,292.1257919921212,289.4236911077918,HAM
7,181.99013039124665,177.27056571182794,HAM
8,128.60628170563575,122.33766052603069,HAM
9,248.57776562433403,245.9384930668759,HAM
10,279.8774663534742,281.5187752682078,BOT
11,290.11493260405825,289.055044154386,HAM
12,156.02174545933775,147.96346821681277,HAM
13,192.40232423207522,192.91203733333333,BOT
14,258.7009354376417,253.18260860289854,HAM
15,218.68130294423298,203.44182669297308,HAM
16,225.61544612877364,213.49116578499928,HAM
17,227.8454235410212,217.07882164762978,HAM
18,247.12215806060604,242.92204956356107,HAM
19,274.7320912159145,273.4359848531441,HAM
20,289.8489218915421,289.50865006988516,HAM
21,271.0741253614035,267.0226190222222,HAM
22,235.84687771488368,224.74124425146616,HAM
23,204.94582685266727,205.8157053128205,BOT
24,261.3940652000411,261.5017858638238,BOT
25,278.6333333333333,,HAM
