Minisector,LEC,OCO,Fastest
0,291.14833960902257,297.61865716826765,OCO
1,217.90798781808812,218.25578798323806,OCO
2,140.4354364085459,140.43081538126344,LEC
3,219.68636831976735,217.65616678400002,LEC
4,153.6603912402721,158.08402565390742,OCO
5,172.174239243428,176.53110802870026,OCO
6,247.9848483878788,249.59297052154193,OCO
7,270.7136062760828,272.3152813237182,OCO
8,277.0125000421053,282.30812054923587,OCO
9,253.67270424671202,257.1642857142857,OCO
10,244.45774945958763,239.50429076652043,LEC
11,244.37539692698414,238.28558161329775,LEC
12,211.396333312,202.51277529046257,LEC
13,138.0687218039408,135.78688316545023,LEC
14,149.98755857851665,141.6650877860641,LEC
15,172.97094314124442,180.63579954128284,OCO
16,249.40513817212593,255.38483501133786,OCO
17,241.4867910254868,230.06630432463768,LEC
18,112.41123118105065,112.95337025143007,OCO
19,193.88115068500883,199.53522185179094,OCO
20,193.65138899753086,190.4437793472785,LEC
21,230.19358285694852,230.4258799171843,OCO
22,262.78220211654735,262.0756668069508,LEC
23,276.09004368074005,278.44265173623063,OCO
24,285.036058883208,290.1828703407407,OCO
25,287.63571382857145,,LEC
