Minisector,NOR,RUS,Fastest
0,275.37498334911567,269.49816686842905,NOR
1,240.11009433184108,244.1731492739469,RUS
2,119.91157470487815,117.03559219883968,NOR
3,176.2653754978818,171.22656779064582,NOR
4,196.51586058453628,193.65928958754736,NOR
5,203.54890285113999,197.38810891567107,NOR
6,267.7738174317493,262.43303549002076,NOR
7,289.34487491388103,285.20902803137255,NOR
8,229.56152143197463,228.59965683039593,NOR
9,151.69804732084333,145.59692896279356,NOR
10,121.8026620368742,117.14214329231511,NOR
11,161.26760740679276,151.54281270422595,NOR
12,243.98602299204288,243.41220747881297,NOR
13,153.14879537349645,145.90580676281186,NOR
14,159.75455921062712,145.31709608386998,NOR
15,106.32554466008041,108.57471402997642,RUS
16,224.70132686569562,224.55167962993247,NOR
17,234.55407826539684,230.35223175455556,NOR
18,132.03623203639924,115.60222650834064,NOR
19,243.12657352049925,240.12337067528054,NOR
20,277.3514044377489,272.570108630303,NOR
21,197.9460401416563,208.24902930493994,RUS
22,165.21737980547186,149.54369813783734,NOR
23,221.02298790734736,215.16302751291735,NOR
24,234.8464935606349,226.76013708513707,NOR
25,260.68125088,256.0,NOR
