Minisector,HAM,VER,Fastest
0,311.14873911950195,316.34120051976106,VER
1,323.03232716719765,329.7030375938788,VER
2,325.8968942109373,334.5342040162757,VER
3,293.67420098039366,312.3937689780947,VER
4,162.40802605282073,156.08026555974814,HAM
5,196.44391864067828,192.1657346457654,HAM
6,216.65361249528522,216.53580239338476,HAM
7,256.34020816227314,262.85183032549895,VER
8,237.62498051090867,234.07600232218465,HAM
9,159.54858087578134,155.70797207985424,HAM
10,203.91565667130794,214.52332213022194,VER
11,127.02029509581047,124.90776477529302,HAM
12,233.7320390866633,234.00387890894007,VER
13,176.0043952201929,166.09018361525875,HAM
14,203.74358401830975,210.85670281821302,VER
15,219.29088727191854,213.1424006148613,HAM
16,259.80250739938276,255.07989161443317,HAM
17,294.11905511071035,292.6635033654004,HAM
18,149.1816156230762,139.4802379202248,HAM
19,152.95770623353147,156.24849331751133,VER
20,136.66697518649337,137.76703557237346,VER
21,223.07934648377707,227.80991440876488,VER
22,242.6553171972418,248.613690374005,VER
23,231.4260543644248,237.97426369867162,VER
24,282.18476222577203,286.0042052943354,VER
