Minisector,GRO,OCO,Fastest
0,291.19309677876,290.98906213333333,GRO
1,298.15000064000003,301.72662856666665,OCO
2,161.53054235704653,158.4149164001242,GRO
3,221.95208325333334,222.0687136721885,OCO
4,271.51666714074076,276.6271941904762,OCO
5,294.0156248,297.0926820685961,OCO
6,303.1333331911111,305.5030555022222,OCO
7,170.58087190875224,170.7282435879827,OCO
8,133.29851222857144,129.96387737917982,GRO
9,249.5779338495699,251.34234292765254,OCO
10,284.11718766666667,286.23958319999997,OCO
11,296.5588230901961,296.8903651333333,OCO
12,148.62403705855587,146.1519698602039,GRO
13,196.96557027288767,194.6949347451381,GRO
14,258.8964708429632,261.8320406020577,OCO
15,193.99864132173914,191.14279881893606,GRO
16,218.9768949818182,219.15917942523993,OCO
17,208.85102794805195,208.4144931246377,GRO
18,240.86937905608465,243.1859840675864,OCO
19,271.9635877764506,276.05931356862743,OCO
20,289.46348047058825,292.81501114285714,OCO
21,246.14758631214778,251.8532288201324,OCO
22,214.44526496969695,214.37808027826085,GRO
23,199.86684864927537,207.8819282761211,OCO
24,262.6550936296296,269.3549018980392,OCO
25,281.05,,GRO
