Minisector,NOR,HUL,Fastest
0,281.3803849287982,287.39059572571426,HUL
1,220.19576184761902,218.46894556227238,NOR
2,113.88030015646795,113.83454561697941,NOR
3,197.68693589804133,199.57227655384617,HUL
4,169.70087287511583,169.34433585581158,NOR
5,222.32363525079367,228.2239135536232,HUL
6,279.5233390596491,292.16002373201616,HUL
7,297.43198677673263,315.998326,HUL
8,169.72338245714286,169.1259998866935,NOR
9,124.57499387151171,122.7136608744973,NOR
10,135.97471300784005,134.12380547825322,NOR
11,197.0212299118166,198.48195030672633,HUL
12,211.00420417667277,212.0360786282084,HUL
13,129.86435979537023,130.69489077327978,HUL
14,141.9992681266963,149.52536965208913,HUL
15,132.29561616786594,125.28277311117512,NOR
16,257.1306089826591,265.44624970666666,HUL
17,137.89046881486533,135.51357046476193,NOR
18,201.34638227510248,203.09186379669373,HUL
19,127.93987626838349,128.1506507492349,HUL
20,145.30609857681335,146.54541862776486,HUL
21,126.78581820579876,125.26944281535738,NOR
22,150.8612131906922,149.19831241360484,NOR
23,218.28928554666666,219.77672734003434,HUL
24,239.8687693900308,234.6375,NOR
25,,268.7428589714286,HUL
