Minisector,OCO,LEC,Fastest
0,253.9236153295238,265.1446063542857,LEC
1,128.70495677124265,135.792294853815,LEC
2,197.33903262984126,196.8109128392425,OCO
3,242.5523774245926,244.07344080544217,LEC
4,253.56762900410268,260.81206537718515,LEC
5,173.48829178412697,175.82918255427379,LEC
6,147.12044793629568,144.71844424970158,OCO
7,178.51361256533332,182.7106919166935,LEC
8,97.2595642673903,102.52935221192881,LEC
9,72.20307600632867,71.840992597862,OCO
10,92.77222141242693,94.36571902834406,LEC
11,181.11512835943978,178.53068776281575,OCO
12,238.2098640987013,243.53101866384878,LEC
13,266.5154603331061,268.50464282340135,LEC
14,273.4515306122449,282.2094546953846,LEC
15,112.3739554333939,114.78549115508756,LEC
16,138.3346432078091,135.89038960161616,OCO
17,185.41036734419754,189.27708607647727,LEC
18,196.05866594855118,193.76084098909092,OCO
19,199.9270979854342,221.14595320353246,LEC
20,132.31179433025642,135.4678064498552,LEC
21,108.49849749010102,117.2033235389528,LEC
22,93.94178346371902,98.82709126496958,LEC
23,195.27537079703703,201.97636147701175,LEC
24,245.62564157264958,246.96134012912802,LEC
25,261.6666666666667,261.8340904727272,LEC
