Minisector,RIC,ALB,Fastest
0,294.7381722548303,302.0185558986114,ALB
1,303.8365075809524,315.6363948843537,ALB
2,309.9431735779389,323.4769233230769,ALB
3,311.10849189587304,327.96879741253963,ALB
4,189.2219681229448,215.645041509027,ALB
5,100.01747614036266,96.26750486888854,RIC
6,202.4369753435166,195.993510770068,RIC
7,255.16651647942368,250.02747458349435,RIC
8,281.8884331610327,283.80057712639905,ALB
9,291.5937514666667,293.42678567619043,ALB
10,150.11660770539683,159.31352596048697,ALB
11,177.0918512643335,166.05979636064006,RIC
12,239.55070845691546,234.2440797754386,RIC
13,237.677629922807,237.07958419613772,RIC
14,151.52239818275572,152.3185439758884,ALB
15,213.3017691253975,202.0398548099773,RIC
16,260.4939129950867,255.04858165298816,RIC
17,281.8303566095238,276.6763024666667,RIC
18,293.9653348111557,287.4313494857143,RIC
19,301.2464288,294.5580557511111,RIC
20,280.81830198272394,280.5748869755583,RIC
21,145.63198368096127,150.45541663999998,ALB
22,206.94018003809526,204.47233263011015,RIC
23,256.45402529901787,253.58750026666667,RIC
24,280.98949799449247,277.592709,RIC
